repo,title,created_at,closed_at
meta-llama/llama3,"Difficulty Accessing Llama-3.1, 3.2, 3.3, and Llama 4.",2025-04-08 15:31:19+00:00,
meta-llama/llama3,How to SFT llama3 with a labelled dataset,2025-03-29 08:52:49+00:00,
meta-llama/llama3,llama model list keeps fail in a fresh env: module 'jsonschema' has no attribute 'Draft201909Validator,2025-03-22 07:08:51+00:00,
meta-llama/llama3,"sp_model = SentencePieceProcessor()  sp_model.Load(""/home/imss/zxhhhh/llama-3-8b/tokenizer.model"")",2025-03-17 14:00:53+00:00,
meta-llama/llama3,Which of these datasets were not utilized in Llama3.3-70B training?,2025-03-10 18:19:40+00:00,
meta-llama/llama3,"fabrication, lies",2025-01-29 15:17:36+00:00,
meta-llama/llama3,llama 3 not being installed on windows.,2025-01-25 05:08:07+00:00,
meta-llama/llama3,Batch Inference with Llama 3.2 Generate Function: Only the First Result is Correct,2024-12-15 00:24:25+00:00,
meta-llama/llama3,【Error】Unable to download Llama3: RROR 403: Forbidden,2024-04-28 08:57:19+00:00,2024-06-03 22:39:25+00:00
meta-llama/llama3,Your request to access this repo has been rejected by the repo's authors,2024-04-27 10:44:35+00:00,
meta-llama/llama3,"Trying to set a tensor of shape torch.Size([1024, 4096]) in ""weight"" (which has shape torch.Size([4096, 4096])), this look incorrect.",2024-04-23 07:02:03+00:00,
meta-llama/llama3,"RuntimeError: ""triu_tril_cuda_template"" not implemented for 'BFloat16'",2024-04-22 05:30:49+00:00,
ollama/ollama,"The 0.6.5 .tgz binary returns /404 on /models, but /api/tags works. Can you confirm it’s the correct build?",2025-04-21 01:40:20+00:00,
ollama/ollama,How to stop/pause Ollama service (runtime) via Ollama CLI?,2025-04-20 23:51:37+00:00,
ollama/ollama,Incorrect memory allocation,2025-04-20 19:50:30+00:00,
ollama/ollama,Allow two (or more) directories to load Ollama models from,2025-04-20 19:29:25+00:00,
ollama/ollama,support model InternVL3,2025-04-20 14:05:10+00:00,2025-04-20 14:54:13+00:00
ollama/ollama,"Issue began after version 0.5.12, Error: POST predict: Post ... wsarecv: An existing connection was forcibly closed by the remote host.",2025-04-20 10:40:11+00:00,
ollama/ollama,Graphical option to toggle whether ollama launches on boot,2025-04-19 20:54:09+00:00,
ollama/ollama,The model's memory and GPU memory usage increases,2025-04-19 15:45:47+00:00,
ollama/ollama,add update cli,2025-04-19 15:07:35+00:00,
ollama/ollama,Gemma 3 12b (Q4_K_M) fills system RAM despite available VRAM (OLLAMA 0.6.5),2025-04-18 21:47:43+00:00,
ollama/ollama,Granite3.3 : thinking doesn't work if using tools,2025-04-18 14:43:18+00:00,
ollama/ollama,Add Bitnet.cpp engine,2025-04-18 13:45:43+00:00,
ollama/ollama,Using Ollama + OpenWebUI on AWS Tesla T4,2025-04-18 12:45:38+00:00,
ollama/ollama,Support microsoft/bitnet-b1.58-2B-4T,2025-04-18 02:56:27+00:00,
ollama/ollama,CLI: image path not recognized correctly,2025-04-18 02:15:41+00:00,
ollama/ollama,"Deploying ollama on #openshift but error ""could not find /.ollama/id_ed25519' Generating new private key.",2025-04-18 00:58:42+00:00,
ollama/ollama,Client2 Feedback,2025-04-18 00:42:48+00:00,
ollama/ollama,"install TARGETS given target ""ggml-cpu"" which does not exist (archlinux, amd64, gfx1201)",2025-04-17 23:56:47+00:00,
ollama/ollama,"Error  after creating a model : ""Error: pull model manifest: file does not exist""",2025-04-17 23:56:11+00:00,
ollama/ollama,Error when using tools: cannot unmarshal array into Go struct field .tools.function.parameters.properties.type of type string,2025-04-17 23:39:46+00:00,
ollama/ollama,ollama ps reports wrong values (depending on num_batch?),2025-04-17 22:22:52+00:00,
ollama/ollama,running ollama CLI client on a server and backend on another server,2025-04-17 21:46:27+00:00,2025-04-17 21:53:15+00:00
ollama/ollama,Add remote Model with local API Key (Proxy),2025-04-17 20:15:05+00:00,
ollama/ollama,GPU Memory Utilization and Performance Anomalies,2025-04-17 14:19:07+00:00,
ollama/ollama,Please support MT-GPU in ollama,2025-04-17 10:25:21+00:00,
ollama/ollama,Add a command in cli to update ollama!,2025-04-17 08:45:40+00:00,
ollama/ollama,ps show 100% usage but actually running on CPU,2025-04-17 07:56:02+00:00,
ollama/ollama,How to force to load all layers to GPU than partly?,2025-04-17 07:35:27+00:00,
ollama/ollama,Local Model Not Working Properly and Ollama Keeps Asking to Pull,2025-04-17 02:57:23+00:00,
ollama/ollama,Is bitnet-b1.58-2B-4T-gguf available?,2025-04-17 02:44:02+00:00,
ollama/ollama,The image recognition effect is poor: gemma3,2025-04-17 02:20:43+00:00,
ollama/ollama,6.5 in app but 6.2 in terminal,2025-04-17 02:07:15+00:00,
ollama/ollama,Support for OpenAI Responses API (for Codex CLI compatibility),2025-04-16 23:33:52+00:00,
ollama/ollama,"podman error with ollama image  with ""Error: Head ""http://0.0.0.0:11434/"": EOF""",2025-04-16 23:31:47+00:00,2025-04-17 23:39:15+00:00
ollama/ollama,"client2: pulling non-existent model prints duplicate ""not found"" error message",2025-04-16 21:11:09+00:00,2025-04-19 01:12:29+00:00
ollama/ollama,Add a model type to api/tags API request,2025-04-16 19:15:34+00:00,
ollama/ollama,Control multi-GPU distribution for models regardless of size,2025-04-16 14:45:31+00:00,2025-04-16 15:50:09+00:00
ollama/ollama,Ollama reverts to CPU after several hours,2025-04-16 12:35:20+00:00,
ollama/ollama,"Support to GLM-Z1-32B, GLM-Z1-Rumination-32B",2025-04-16 11:48:13+00:00,
ollama/ollama,the issue of multiple GPU inference models running to the CPU for gemma3 27b,2025-04-16 11:23:23+00:00,
ollama/ollama,Error running mistral-small3.1:24b (GPU+CPU - not enough VRAM so split is needed),2025-04-16 09:23:01+00:00,
ollama/ollama,🤗 Use 8 or 16 bit integers for internal representation for integer quantized models instead of floats.,2025-04-16 07:05:07+00:00,
ollama/ollama,how to make commited ollama image after I changed,2025-04-16 06:32:09+00:00,2025-04-16 23:30:13+00:00
ollama/ollama,"Save the question, too.",2025-04-16 06:08:26+00:00,
ollama/ollama,Possible memory leak running gemma3-12b,2025-04-15 16:41:07+00:00,2025-04-15 18:39:22+00:00
ollama/ollama,could not update ollama manually,2025-04-15 14:43:31+00:00,2025-04-15 15:03:47+00:00
ollama/ollama,"POST /api/show to Show Model Information returning values for ""tensors"" key on ""verbose"": false?",2025-04-15 14:05:46+00:00,
