repo,id,number,title,state,created_at,closed_at
meta-llama/llama3,2980168797,396,"Difficulty Accessing Llama-3.1, 3.2, 3.3, and Llama 4.",open,2025-04-08T15:31:19Z,
meta-llama/llama3,2957877494,395,How to SFT llama3 with a labelled dataset,open,2025-03-29T08:52:49Z,
meta-llama/llama3,2940172759,393,llama model list keeps fail in a fresh env: module 'jsonschema' has no attribute 'Draft201909Validator,open,2025-03-22T07:08:51Z,
meta-llama/llama3,2925209052,392,"sp_model = SentencePieceProcessor()  sp_model.Load(""/home/imss/zxhhhh/llama-3-8b/tokenizer.model"")",open,2025-03-17T14:00:53Z,
meta-llama/llama3,2908075423,388,Which of these datasets were not utilized in Llama3.3-70B training?,open,2025-03-10T18:19:40Z,
meta-llama/llama3,2818514611,385,"fabrication, lies",open,2025-01-29T15:17:36Z,
meta-llama/llama3,2810773400,383,llama 3 not being installed on windows.,open,2025-01-25T05:08:07Z,
meta-llama/llama3,2740202087,369,Batch Inference with Llama 3.2 Generate Function: Only the First Result is Correct,open,2024-12-15T00:24:25Z,
meta-llama/llama3,2267438677,166,【Error】Unable to download Llama3: RROR 403: Forbidden,closed,2024-04-28T08:57:19Z,2024-06-03T22:39:25Z
meta-llama/llama3,2266959435,159,Your request to access this repo has been rejected by the repo's authors,open,2024-04-27T10:44:35Z,
meta-llama/llama3,2258115199,129,"Trying to set a tensor of shape torch.Size([1024, 4096]) in ""weight"" (which has shape torch.Size([4096, 4096])), this look incorrect.",open,2024-04-23T07:02:03Z,
meta-llama/llama3,2255614568,110,"RuntimeError: ""triu_tril_cuda_template"" not implemented for 'BFloat16'",open,2024-04-22T05:30:49Z,
ollama/ollama,3007786077,10357,Why is the CPU and GPU used in a mix instead of 100% GPU?,open,2025-04-21T07:25:08Z,
ollama/ollama,3007653022,10356,option to select installation folder from the installer,open,2025-04-21T06:09:14Z,
ollama/ollama,3007650326,10355,please support OmniSQL-7B,open,2025-04-21T06:07:54Z,
ollama/ollama,3007372743,10354,"The 0.6.5 .tgz binary returns /404 on /models, but /api/tags works. Can you confirm it’s the correct build?",open,2025-04-21T01:40:20Z,
ollama/ollama,3007296807,10353,How to stop/pause Ollama service (runtime) via Ollama CLI?,open,2025-04-20T23:51:37Z,
ollama/ollama,3007196925,10351,Incorrect memory allocation,open,2025-04-20T19:50:30Z,
ollama/ollama,3007187583,10350,Allow two (or more) directories to load Ollama models from,open,2025-04-20T19:29:25Z,
ollama/ollama,3007039275,10349,support model InternVL3,closed,2025-04-20T14:05:10Z,2025-04-20T14:54:13Z
ollama/ollama,3006945389,10348,"Issue began after version 0.5.12, Error: POST predict: Post ... wsarecv: An existing connection was forcibly closed by the remote host.",open,2025-04-20T10:40:11Z,
ollama/ollama,3006651898,10346,Graphical option to toggle whether ollama launches on boot,open,2025-04-19T20:54:09Z,
ollama/ollama,3006507810,10345,The model's memory and GPU memory usage increases,open,2025-04-19T15:45:47Z,
ollama/ollama,3006485581,10344,add update cli,open,2025-04-19T15:07:35Z,
ollama/ollama,3005816179,10341,Gemma 3 12b (Q4_K_M) fills system RAM despite available VRAM (OLLAMA 0.6.5),open,2025-04-18T21:47:43Z,
ollama/ollama,3005101197,10338,Granite3.3 : thinking doesn't work if using tools,open,2025-04-18T14:43:18Z,
ollama/ollama,3004997387,10337,Add Bitnet.cpp engine,open,2025-04-18T13:45:43Z,
ollama/ollama,3004881560,10336,Using Ollama + OpenWebUI on AWS Tesla T4,open,2025-04-18T12:45:38Z,
ollama/ollama,3003823907,10334,Support microsoft/bitnet-b1.58-2B-4T,open,2025-04-18T02:56:27Z,
